RMSE,MAE,MAPE,R2,DA,Model,Ticker,model_key,Coverage_90pct,Avg_Width_USD
64.59805841689405,51.23107069462269,54.03836539701048,-1.7473943167534358,46.95259593679458,QuantileLSTM,NVDA,quantile_lstm,70.04504504504504,168.55022258530863
114.75009289524674,82.89153540671408,16.194776256985165,0.0996824436572015,47.85553047404064,QuantileLSTM,META,quantile_lstm,71.84684684684684,272.7131514880893
72.38355622074731,58.29878697953782,41.62827236582812,-2.1633839648143853,53.72460496613996,QuantileLSTM,AVGO,quantile_lstm,73.64864864864865,191.8030091626795
61.16314351027665,55.44875043576902,42.65705683117324,-4.606562944373542,50.56433408577878,QuantileLSTM,ORCL,quantile_lstm,83.33333333333334,182.42638893368004
14.447085614214288,9.737738669455588,6.252591576530561,0.7476196940295885,49.887133182844245,QuantileLSTM,AMD,quantile_lstm,90.09009009009009,42.305023193359375
47.48334616387441,42.3563012475366,20.918827597956486,-2.8038199035412155,52.370203160270876,VanillaRNN + MC,AAPL,vanilla_rnn_mc,85.8108108108108,139.35223110439537
39.80881716862933,32.28092413550025,15.511925072114963,-1.673596484404484,51.91873589164786,SlimLSTM + MC,AAPL,slim_lstm_mc,72.97297297297297,106.20424040579586
162.06382415872636,154.38210478774062,40.055564197463205,-9.822490389512403,48.306997742663654,VanillaRNN + MC,MSFT,vanilla_rnn_mc,100.0,507.9171247516667
108.67442186921893,97.84472511910103,24.780208459635546,-3.8664214829051984,46.50112866817156,SlimLSTM + MC,MSFT,slim_lstm_mc,94.81981981981981,321.9091456418424
50.848039291857994,45.28633327312298,29.212955512363393,-3.8273104041524064,49.887133182844245,VanillaRNN + MC,GOOGL,vanilla_rnn_mc,88.51351351351352,148.99203646857455
17.878810222538707,12.494118252316037,7.561974198166347,0.40319282959641667,45.82392776523702,SlimLSTM + MC,GOOGL,slim_lstm_mc,72.52252252252252,41.10564905011977
47.949612257022906,39.89779235221244,22.658311522375797,-1.2448846982582014,47.629796839729124,VanillaRNN + MC,AMZN,vanilla_rnn_mc,85.8108108108108,131.2637368387789
12.395093382814313,8.059420439574096,4.543988895759269,0.8499888824342043,40.85778781038375,SlimLSTM + MC,AMZN,slim_lstm_mc,86.26126126126125,26.515493246198787
54.239405127771626,40.60391252534883,18.801490947874655,0.10879934746694553,48.98419864559819,VanillaRNN + MC,TSLA,vanilla_rnn_mc,82.65765765765765,133.58687220839764
22.384973625793716,12.616876963022593,4.819607138279567,0.8482045218957823,49.887133182844245,SlimLSTM + MC,TSLA,slim_lstm_mc,85.8108108108108,41.50952520834433
56.29960758754306,43.784511660670375,45.77075042104271,-1.086857533032512,51.24153498871332,VanillaRNN + MC,NVDA,vanilla_rnn_mc,70.04504504504504,144.0510433636055
62.49216918772632,49.26265135326901,51.65768504337807,-1.5711846432079346,51.69300225733634,SlimLSTM + MC,NVDA,slim_lstm_mc,70.04504504504504,162.074122952255
143.6683877651456,118.70696499111416,26.148265149781004,-0.4112763502214718,49.66139954853273,VanillaRNN + MC,META,vanilla_rnn_mc,82.2072072072072,390.5459148207656
114.59755182407206,87.54220209894953,18.056912638759194,0.10207449613829211,49.43566591422122,SlimLSTM + MC,META,slim_lstm_mc,76.8018018018018,288.0138449055439
79.63022215451977,68.75987076114964,52.12497770388297,-2.8284936487030428,53.49887133182845,VanillaRNN + MC,AVGO,vanilla_rnn_mc,83.55855855855856,226.21997480418233
70.25674852239726,58.25076217479534,42.60304281511811,-1.9802189362814127,52.595936794582386,SlimLSTM + MC,AVGO,slim_lstm_mc,77.02702702702703,191.6450075550766
58.907876126778454,52.96203986159316,40.58619406105821,-4.200724351247638,47.17832957110609,VanillaRNN + MC,ORCL,vanilla_rnn_mc,82.88288288288288,174.24511114464153
48.96096543670939,41.95283293509269,31.438537081770125,-2.5926677196060255,44.92099322799097,SlimLSTM + MC,ORCL,slim_lstm_mc,82.43243243243244,138.02482035645494
55.30170523471877,50.32904052734375,35.447060404520094,-2.698043502145996,46.04966139954853,VanillaRNN + MC,AMD,vanilla_rnn_mc,88.28828828828829,165.58254333496097
57.179333220830465,49.45333346805057,33.13390789312972,-2.9534217110210608,51.46726862302483,SlimLSTM + MC,AMD,slim_lstm_mc,85.36036036036036,162.7014671098864
