Model,Ticker,RMSE,MAPE,R2,DA,Coverage_90pct,Avg_Width_USD
QuantileLSTM,META,114.75009289524674,16.194776256985165,0.0996824436572015,47.85553047404064,71.84684684684684,272.7131514880893
VanillaRNN + MC,NVDA,56.29960758754306,45.77075042104271,-1.086857533032512,51.24153498871332,70.04504504504504,144.0510433636055
SlimLSTM + MC,NVDA,62.49216918772632,51.65768504337807,-1.5711846432079346,51.69300225733634,70.04504504504504,162.074122952255
QuantileLSTM,NVDA,64.59805841689405,54.03836539701048,-1.7473943167534358,46.95259593679458,70.04504504504504,168.55022258530863
QuantileLSTM,AMZN,22.81772068172153,9.052193801874951,0.4916435251457005,47.85553047404064,61.26126126126125,31.52292251586914
VanillaRNN,AMD,7.058547991857641,4.1469342245463965,0.9397543473681064,49.20993227990971,,
StackedLSTM,AMZN,7.714333792773039,4.37137532859527,0.9418940383069506,48.53273137697517,,
StackedGRU,AAPL,9.212767203577467,4.401765726277909,0.8568084110085488,51.91873589164786,,
VanillaRNN,GOOGL,9.498952230523583,4.680084390254358,0.8315355724177693,47.85553047404064,,
VanillaRNN,AMZN,9.892298944293758,4.331115008130586,0.9044527251365144,46.27539503386004,,
StackedLSTM,GOOGL,10.048178596666864,5.369126020790146,0.8114912582642709,51.91873589164786,,
StackedGRU,AMD,12.642090351931472,8.350899565752572,0.806744105430002,49.66139954853273,,
VanillaRNN,AAPL,12.711848324351076,5.49954814748742,0.7273818798709712,53.27313769751692,,
StackedLSTM,ORCL,13.078134871325949,5.834552244347716,0.7436645154757451,48.081264108352144,,
SlimLSTM,AMD,14.766150534639026,6.58348067827844,0.7363489211739811,51.46726862302483,,
SlimLSTM,AMZN,14.8613658542078,5.433097568301851,0.784354057116247,46.72686230248307,,
StackedLSTM,AMD,15.28686815776114,7.714815761515159,0.7174261234376946,49.43566591422122,,
VanillaRNN,AVGO,15.321593952310325,6.0718522572650055,0.8582640648199025,53.04740406320542,,
StackedGRU,ORCL,16.470341560697456,11.295421916652913,0.593442181514567,49.887133182844245,,
"ARIMA(5,1,0)",GOOGL,18.441930623575512,10.530748104088511,0.3650060738612947,51.69300225733634,,
VanillaRNN,TSLA,18.542078342756582,6.024492725287664,0.8958492303298132,49.43566591422122,,
VanillaRNN,ORCL,19.069270588753163,11.397341357901626,0.4550140968339942,49.66139954853273,,
"ARIMA(5,1,0)",ORCL,19.45516354834033,11.73629252703145,0.4327338381124904,49.66139954853273,,
SlimLSTM,GOOGL,19.664274400470376,8.46262549024038,0.278040799998615,46.72686230248307,,
StackedGRU,AVGO,20.67454309962877,16.414282063901236,0.7419261995203801,48.98419864559819,,
"ARIMA(5,1,0)",AMZN,20.907977713654702,11.059509731012293,0.5731769179714695,47.85553047404064,,
StackedLSTM,NVDA,21.093344419258344,13.69504709133103,0.7070638605197296,50.79006772009029,,
"ARIMA(5,1,0)",NVDA,21.36061805925644,23.132179961299368,0.6995932443095249,53.49887133182845,,
"ARIMA(5,1,0)",AVGO,22.729518028979403,14.839273605510456,0.6880733149698912,51.24153498871332,,
"ARIMA(5,1,0)",AAPL,23.50384521796653,10.1135409028667,0.0680016337593867,50.79006772009029,,
SlimLSTM,TSLA,23.67229315038104,5.436616517485412,0.8302435357400112,50.11286681715576,,
StackedLSTM,MSFT,25.13758857640069,6.039260689171779,0.739623208250265,52.144469525959366,,
